Date,Price_MSFT,Price_AMZN,Price_AAPL,Price_FB,MSFT_size,AMZN_size,AAPL_size,FB_size,total_value,periodic_reinvestment,reinvestment_due_to_loss,MSFT_change,AMZN_change,AAPL_change,FB_change,total_value_percentage,Drawdown
2019-11-12,143.5324249267578,1778.0,64.44932556152344,194.47000122070312,6465.939259943755,6271.250269981819,6489.735232696806,6346.3941517758185,25573.32,0.0,0.0,0.0,0.0,0.0,0.0,155.73,0.0
2019-11-13,143.7666015625,1753.1099853515625,65.06685638427734,193.19000244140625,6476.488596817145,6183.459768809791,6551.917598497928,6304.622275824676,25516.49,0.0,0.0,0.0,0.0,0.0,0.0,155.16,-0.22222643309960377
2019-11-14,144.49859619140625,1754.5999755859375,64.61663818359375,193.14999389648438,6509.463952814426,6188.715169068281,6506.582804162672,6303.3166245986795,25508.08,0.0,0.0,0.0,0.0,0.0,0.0,155.08,-0.25511105528586153
2019-11-15,146.36268615722656,1739.489990234375,65.38424682617188,195.10000610351562,6593.438654002784,6135.420174852641,6583.877280237622,6366.953925924911,25679.69,0.0,0.0,0.0,0.0,0.0,0.0,156.8,0.0
2019-11-18,146.7237548828125,1752.530029296875,65.71390533447266,197.39999389648438,6609.704305819753,6181.414184127825,6617.072296902855,6442.012438738346,25850.2,0.0,0.0,0.0,0.0,0.0,0.0,158.5,0.0
2019-11-19,146.77252197265625,1752.7900390625,65.51463317871094,199.32000732421875,6611.901196459445,6182.3312742925455,6597.006555037057,6504.6707506251005,25895.91,0.0,0.0,0.0,0.0,0.0,0.0,158.96,0.0
2019-11-20,146.5179443359375,1745.530029296875,64.751953125,197.50999450683594,6600.4328224191995,6156.724222434983,6520.20836401304,6445.602232669774,25722.97,0.0,0.0,0.0,0.0,0.0,0.0,157.23,-0.6678357175721406
2019-11-21,146.38084411621094,1734.7099609375,64.46163940429688,197.92999267578125,6594.256645198413,6118.560354819711,6490.975177081024,6459.308582782489,25663.1,0.0,0.0,0.0,0.0,0.0,0.0,156.63,-0.8990184880260599
2019-11-22,146.48858642578125,1745.719970703125,64.40504455566406,198.82000732421875,6599.110288755005,6157.394171869868,6485.2763496695425,6488.353596020434,25730.13,0.0,0.0,0.0,0.0,0.0,0.0,157.3,-0.6401604405120498
2019-11-25,148.0945587158203,1773.8399658203125,65.53430938720703,199.7899932861328,6671.457141989346,6256.577257905048,6598.987854025223,6520.00841783025,26047.03,0.0,0.0,0.0,0.0,0.0,0.0,160.47,0.0
2019-11-26,148.8779754638672,1796.93994140625,65.0225830078125,198.97000122070312,6706.748994061648,6338.054045379673,6547.459483713778,6493.248543217818,26085.51,0.0,0.0,0.0,0.0,0.0,0.0,160.86,0.0
2019-11-27,149.16200256347656,1818.510009765625,65.8959732055664,202.0,6719.544026091444,6414.13463988038,6635.405650549066,6592.130460285294,26361.21,0.0,0.0,0.0,0.0,0.0,0.0,163.61,0.0
2019-11-29,148.24143981933594,1800.800048828125,65.75082397460938,201.63999938964844,6678.073934635679,6351.669174576295,6620.789825326171,6580.382089051533,26230.92,0.0,0.0,0.0,0.0,0.0,0.0,162.31,-0.4942858450178611
2019-12-02,146.44940185546875,1781.5999755859375,64.9905776977539,199.6999969482422,6560.650277331133,6560.650277331132,6560.650277331132,6560.650277331131,26242.6,300.0,0.0,-36.69,276.7,16.41,43.58,162.43,-0.44995524100814865
2019-12-03,146.21435546875,1769.9599609375,63.831809997558594,198.82000732421875,6550.120653292559,6517.7865220673875,6443.675326454346,6531.7403912063255,26043.32,0.0,0.0,0.0,0.0,0.0,0.0,160.43,-1.2059075671477126
2019-12-04,146.74317932128906,1760.68994140625,64.39521026611328,198.7100067138672,6573.810940250806,6483.650151927082,6500.549295867753,6528.126592779495,26086.14,0.0,0.0,0.0,0.0,0.0,0.0,160.86,-1.0434943848758982
2019-12-05,146.82150268554688,1740.47998046875,65.33995056152344,199.36000061035156,6577.319675656545,6409.228010230625,6595.918669408538,6549.480537208142,26131.95,0.0,0.0,0.0,0.0,0.0,0.0,161.32,-0.8697166888684382
2019-12-06,148.60379028320312,1751.5999755859375,66.60206604003906,201.0500030517578,6657.162716827769,6450.176820316628,6723.3263422969985,6605.001394270427,26435.67,0.0,0.0,0.0,0.0,0.0,0.0,164.36,0.0
2019-12-09,148.2218780517578,1749.510009765625,65.66963195800781,201.33999633789062,6640.053786675766,6442.480628676226,6629.199252869961,6614.528407601251,26326.26,0.0,0.0,0.0,0.0,0.0,0.0,163.26,-0.41385449724363754
2019-12-10,147.99664306640625,1739.2099609375,66.05343627929688,200.8699951171875,6629.963694463783,6404.551228627521,6667.943421888064,6599.087678076598,26301.55,0.0,0.0,0.0,0.0,0.0,0.0,163.02,-0.5073495942704342
2019-12-11,148.55482482910156,1748.719970703125,66.61682891845703,202.25999450683594,6654.969159080445,6439.57135046253,6724.816621131532,6644.752675675725,26464.11,0.0,0.0,0.0,0.0,0.0,0.0,164.64,0.0
2019-12-12,150.06288146972656,1760.3299560546875,66.7865982055664,196.75,6722.527183163818,6482.324524385026,6741.954442643694,6463.7354120713835,26410.54,0.0,0.0,0.0,0.0,0.0,0.0,164.11,-0.20241846212962766
2019-12-13,151.3261260986328,1760.93994140625,67.69444274902344,194.11000061035156,6779.118102074843,6484.57076406887,6833.599274353057,6377.004751117292,26474.29,0.0,0.0,0.0,0.0,0.0,0.0,164.74,0.0
